populasi,korban_selamat,jumlah_orang_sakit,persentase_infrastruktur_rusak,status_isolasi,urgency_score_label
7770,5825,1112,27.65,1,6.0532
1360,1236,128,6.84,0,2.3704
5890,4505,734,37.2,0,3.8254
13918,10706,1862,17.21,0,2.5356
5691,5240,238,55.81,0,4.8376
12464,8645,494,70.28,0,4.7683
11784,6650,1125,79.67,1,8.1994
6234,3203,421,38.78,0,2.4253
6765,5834,863,23.95,0,2.8484
966,770,131,41.75,0,4.121
14026,11753,834,39.32,1,6.4371
4926,2966,212,43.69,0,2.6189
6078,3436,724,62.26,0,3.8972
14923,7565,723,30.6,0,1.7331
12136,8110,1519,43.37,0,3.3443
11863,9290,822,20.76,0,1.9267
11611,7991,1201,36.5,0,3.0395
8822,6263,206,81.99,1,8.3504
2185,2040,212,24.69,0,3.318
1269,846,92,57.62,0,3.9975
11083,8275,1021,33.71,0,3.4802
14303,12531,479,58.46,0,4.9064
7449,5142,842,57.95,0,4.3354
2933,2342,383,21.17,0,2.7596
5811,5310,234,53.16,1,7.9082
5551,5305,129,13.02,0,2.5694
6920,3948,92,15.92,0,0.71
1684,1590,168,39.39,0,4.0798
5055,3721,480,68.98,1,7.9797
3885,2424,336,48.48,0,3.3949
12809,9227,544,22.71,0,2.0036
6896,6691,446,7.17,0,2.3034
13535,9967,1261,51.74,0,4.2954
11596,7627,922,38.17,1,6.105
9166,7369,1359,41.44,0,4.0148
9774,6013,284,47.37,0,2.7763
3058,1640,328,60.83,0,3.7636
8349,4690,556,36.93,1,5.3093
2547,1430,178,71.1,0,4.2455
3247,1860,358,24.45,0,2.2012
9667,5477,1033,10.54,0,0.88
10498,8478,1561,64.47,0,5.579
689,404,19,15.61,0,0.7681
3234,2153,79,41.17,1,5.9942
3505,3261,390,69.99,0,6.056
5158,3752,469,9.99,0,1.9336
2399,1968,116,50.78,0,3.9808
8234,4798,173,10.07,0,0.6141
1767,1046,38,40.28,0,2.4774
2028,1053,274,2.13,0,0.5377
11894,6911,438,15.75,0,1.0643
4056,2570,224,23.82,0,1.8432
4390,2567,183,8.81,0,0.6931
9338,5066,557,52.72,0,2.8708
14856,8288,292,45.79,0,2.9286
11580,8351,957,68.92,1,8.5746
5893,3530,114,16.84,0,1.2405
11127,7509,1358,32.69,0,2.6999
9292,6891,396,12.04,0,1.3707
11055,9191,946,26.57,0,3.1201
10753,5579,1432,72.8,1,7.7675
8933,7894,903,54.25,0,4.8625
10733,8601,908,14.97,1,5.2951
11516,6209,638,4.72,0,0.0
8013,7366,453,4.29,0,2.0338
3112,2931,322,54.75,1,8.1922
7541,3991,1124,23.21,0,1.7261
10055,6363,1032,87.22,1,8.5605
6735,5973,593,42.27,0,4.1823
5986,5142,672,24.28,0,3.3816
7599,4472,570,13.34,0,1.1626
10170,6106,187,60.3,1,6.5403
11248,7624,997,27.0,0,2.4721
1275,934,183,47.8,1,7.4657
12706,10123,438,39.23,0,3.4443
8726,5908,930,39.46,0,3.3629
3652,2636,139,57.67,0,4.413
10647,9143,905,13.63,0,2.4323
2085,1079,49,44.46,0,2.36
4443,2759,324,32.12,0,2.0919
8055,6785,933,56.42,1,7.7311
3573,3321,209,60.27,1,7.9837
1521,1134,156,19.5,0,2.4566
12153,9180,1474,52.06,0,4.5401
11305,6234,1580,15.46,0,1.5405
13917,9947,596,34.69,0,2.5589
4343,3281,286,39.84,1,6.6959
8489,5232,266,57.2,0,3.6133
10192,6413,1518,55.06,0,4.3181
13490,9187,1885,15.06,1,4.9589
7373,3757,631,52.08,0,3.2802
6175,4042,789,40.36,1,6.3939
661,397,54,77.51,0,4.9452
4797,3152,466,25.88,0,2.5857
10673,5950,239,30.33,0,1.5193
1495,1386,173,82.87,0,6.6492
13603,10677,379,64.26,0,5.0149
12034,9939,1512,14.02,0,2.5493
13243,11637,1582,33.41,0,4.258
8129,6009,887,49.02,0,4.0928
12490,6766,188,58.58,0,3.7377
9967,7553,522,20.64,1,4.7853
1516,1185,71,70.65,0,4.9401
8369,7179,505,10.75,0,2.2202
6939,4907,154,17.59,1,4.2797
